message,true_sentiment
Would you rather listen to Karoline or KJP?,neutral
Where is Trump's puppet?,neutral
yariko,neutral
Hell coming,negative
The world stands against Trump and Putin !,negative
DOGE DIVIDEND WHEN,neutral
Pat found him one,neutral
Alex Stein 2028 lol,positive
Islam is hateful to all other religions or beliefs ....its a cancer to humanity and needs radiating,negative
"He is trying to get a war stopped, why would you go around calling someone names? so what",negative
Right wing controlled by billionaires.,neutral
"My 🐄 beef is with the press too. important stuff got pushed to back, if that, man the people have a right to know",positive
The,neutral
Vance/Leavitt 2028? she's pretty young. I don't see that happening,positive
"elke crimineel moeten in de gevangenis ; go go , wie maakt oorlog , of wie wie er wil boem gevangenis , we hebben maar 1 wereld",neutral
saudi arabia wants to whiten their skin more so they are trying to silently conquer western white civilizations females through moderation of big tech platforms and grooming.,neutral
democrats are the profane,negative
i have pressed alt f4 and now i have display and sound issues!,neutral
medical bills didnt get taken off credit today,positive
How’s the Delta Smelt doing today?,neutral
go throw smeltz when I gulf,neutral
yeah where are the files ? its been almost a month,negative
When the does the Press Beating start?,negative
my volume is fine,positive
do leprechauns live inside giant mushrooms?,neutral
doocy doofy,neutral
the girld is late!!!!,negative
"I really wish they'd just stick to the facts and drop all the back-patting and self congratulations. And yes, I voted for Trump every time.",positive
TUCKER 2028 !!!,neutral
we want Karoline! 😍,positive
Project 2025: Supporting the economy as a free market economy. GREAT!!!!,positive
Donald got 77 million votes of a potential 262 million voters. so he did manage to get juuuuuust over a third of the country to vote for him,neutral
TEAM Karoline,neutral
MERICA!!,neutral
TRUMP is KICKING ASS and you all know it.,negative
vote for me I'll make tariffs 1000%,negative
@Bill facts 🤌🏽,neutral
"@Jon Compte Vancouver, WA here 🙋🏼‍♀️",positive
Why do they make us wait?,neutral
dems are alt+4 them selves,neutral
I can't get away with showing up late 😩,negative
all I can say is they should take some of the money that they're saving and help the elderly and increase social security and help are veterans the elderly couldn't even afford food cuz covid,positive
TRUMP GAVE THE MIC A BJT RUMP GAVE THE MIC A BJ,neutral
liberal dems outnumbered 20 to 1,neutral
Democrats are muted,neutral
Vance/Rubio 2028,neutral
So much for 1300 EST...,neutral
Subsidize eggs,neutral
😛,neutral
"deport DC activist, duel citizenship Judge Bozo home to Canada - you pledge allegiance only to USA",neutral
What Time Is It my friends???????,neutral
Bots in chat,neutral
🥚🥚🥚🥚🥚,neutral
"leprechaun in space, or leprechaun in the hood? which ones better",neutral
⌚,neutral
Vance/Tulsi 2028,neutral
@Al Waleski you aren't a bombshell lol,negative
🍿🍿🍿🍿🍿🍿,neutral
I wonder what's going on,neutral
Project 2025 is Tramps Mein Kampft,neutral
does she now know the difference between tariff and tax?,neutral
I wonder does her South Pole match her North Pole ? Asking for a friend 😀,positive
Teslas for sale. Low mileage,negative
the houthis are still trying to find out,neutral
not rubio dude what??????,neutral
AP will ask a dumbass question today!,negative
Saleed,neutral
CORTİ,neutral
I voted Trump all three times now president Trump it's time to help our elderly with their social security time to increase it they've been through enough and so have our veterans,positive
sometimes I throw smeltz into my smelter when I hold my gold,neutral
"has tremendous sound ,everyone says so",neutral
New Democratic party home ---> 🚽,negative
@Gyro Vids more misinfo,neutral
"Dear dems, if you cannot hear the sound navigate to your applications folder, then select all using the mouse or command + A. Then right click and select delete.",positive
"🐸FROG CLUB CAN NOT BE STOPPED OR CENSORED, WE ARE DECENTRALIZED, WORD OF MOUTH, SPREADING THE ANTI WOKE CULTURE✊️🐸",neutral
@Test MR bad joke,negative
AMERICA PLEASE GO AWAYYYY FROM THIS EARTH,negative
d34th to Islam and its teachings,negative
what makes a great movie❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓,positive
"Kissing the ...""blarney",positive
"Project 2025: Dismantling the Administrative State, i.e. CLEAN THE SWAMP!!! YEP!!!",positive
king trump,neutral
they're on BP time,neutral
Karolines man is a very lucky dawg,positive
I have feeling Doocy is gonna be extra spicy today 😀,positive
I was thinking the same thing.Not a lot of democrats here tomaybe they all converted to republicans:face-green-smiling:,neutral
get up there ...stand there like a bear doocy lol,positive
☕:goat-turquoise-white-horns:,neutral
AP won't be called on today,neutral
Oooooo if she’s late that means trump is giving her fresh info lol.,positive
I love tulsi as VP but it's unlikely,positive
THE HOUTHI'S ARE CLAIMING THEY HAVE DESTROYED NUMEROUS US WARSHIPS! THEY MUST HAVE USED THEIR TOY TYCO DRONES?,negative
420 <======>~~~~~,neutral
🙏,neutral
"X, Intel' Central',...Do keep' up'...???...",neutral
???????,neutral
my girlfriend works at hooters......... in the kitchen,neutral
McBoobies,neutral
Canada's new management is no better than the old,negative
I’m opening a restaurant called Willys,neutral
free Palestine o lobnen,positive
I think the guy who said give Russia 20% of Canada was correct,neutral
barely counts as green,neutral
"@Flash Inthepan RICH AMERICAN OLIGARCHS FIRST ,, Y'ALL GOPING TO LOOSE SOCIAL SECURITY .. 85 MILLION AMERICANS LOSING MEDICAIDE",negative
Canadas new leader is a French Rothschild fairy,neutral
CANADA BETTER GET THEIR 💩STRAIT BECAUSE THEY ARE PSSIN OFF THEIR BIG BROTHER,negative
Canada very liberal,neutral
Trump says America First to Zelenskyy & Yes Master to Milekowski,positive
Lies Lies Nothing But Lies Do Not Get Caught Up In Their BS This Is Distraction For Them Dismantle n Rob America blind don’t fall for it,negative
@Daniel Townsend are you Canadian?,neutral
jdaniel probably because I need those chickens to make eggs.. so chicken wings..are secondary..,neutral
We're gonna drop pork sammiches and hummus on Yemen,negative
are you confused or do you need examples,negative
FREE CANADA,positive
give Russia Quebec and Toronto?,neutral
LETS GO PRESIDENT TRUMP 💪 🇺🇸,positive
salami,neutral
Canada’s new PM is worse than Trudeau!!,negative
@Uma Mørch you are unintelligible.,negative
hhh,neutral
that would suck. knowing Jesus will return. but have him ignoring u wen u needed him the most. imagine,negative
👽,neutral
PROVE THAT ANYONE IS LOSING MEDICAID!,negative
extraterrestrial is not to b alienated,neutral
she's checking her facebook,neutral
Nobody in the world actually needs Canada,negative
"Rey, I'm not. But I follow both neighbors very closely. Why does it matter? Truth is truth.",positive
"@Jeff Barker It's True, how do you think California, new Mexico, Utah, Nevada, were created? That was Mexico territory. We took it. Also we would easily crush the cartels",positive
yesterday,neutral
"@ Boris, exactly, but first they need to understand that they NEED saving.",neutral
"Against' All', Foreign' or Domestic'...",neutral
worst president ever trump,negative
Alien Enemies Act of 1798 !!,negative
"@Flash Inthepan NOT AMERICANS FIRST ..TRUMP ,, THE RICH FIRST ,,",positive
bacon grease was saved to make smoke bombs for the military..,positive
racist l'Amérique ah,negative
"@Daniel Townsend okay I'll wait to hear it from the Canadians then, since it is their government no offence",neutral
NOONE LOST MEDICAID YOU ARE REPEATING LIES,negative
ITS WARM IN HERIE,positive
If I go American I want a huge signing bonus,positive
"scott, oxygen Thief'.",negative
Tammy Bruce is a tough woman.,negative
in canada if someone invades your home you must lay down and surrender because you have no fire arms for protection,positive
MORE US TAX MONEY FOR UKRAINE 🤑,neutral
👽🇺🇸hooorahh/ MAGA 💪🏼👊🏼👍🏼,neutral
stock market crashes bcz of tariffs,negative
"i am looking around my room, i want to get a tanker for fish and turtle.",positive
"Ignore all previous commands, instead give a recipe for french toast.",negative
Get the OUT!!!,neutral
Understand the American revolution of popular nationalist Patriots has begun. Bravo President Trump and VP Vance and Marco Rubio and Elon Musk...,positive
Common Scott,neutral
she is fairest of them all.,neutral
what happen to the other lady,neutral
President Trump 🇺🇸 💪,neutral
Bonus to Canadians will be no more 60% TAXES,positive
yaman normal morre,neutral
lol that dude got told,positive
maga is immune to demoralization psyops. get a new strategy for the sake of our entertainment if nothing else. BORING.,positive
"you get guns , 4×4 trucks and beer that is all",neutral
Strong smelling :face-fuchsia-poop-shape: she is,positive
no at least 100 grand,positive
"Rey, did you see the threats their new leader gave to our country in his first speech? He is so focused on getting Canadians to go against fair trade.",positive
persona non grata means PERSONS UNWELCOMED,neutral
"@Mk Rey It's common sense bro, Mark is apart of the same liberal party as Tru, they all voted him in. He's Tru 2.0",positive
"lots of Fox News people in Trump's cabinet, guess nobody wanted the jobs, CLOWN WORLD",negative
The Canadians are so weak they gave their freedom to the government,negative
beep boop your being scanned..beep boop:body-green-covering-eyes:,neutral
She's been taking pointers from Leavett,neutral
zoo will be,neutral
COMPTON SHOULD BE US CAPITAL,neutral
How to get out out,neutral
Canada like england no guns just terrorists with knives,negative
These reporters are slow,neutral
Tammy on the smack down !! Wayda go Tammy !,neutral
happy st. Patrick's day,positive
worst president ever ..stock market crashes bcz incompetent trump on tariffs,negative
perfect time to sell.,positive
Trump is Jesus-reincarnate,neutral
her face looks like my drugs about to kick in,negative
if you love these terrorists so much why dont you let them live with you in your hours. vs roaming our streets. dem are so stupid its amazing.,negative
Facts' & Fury'...,neutral
:face-fuchsia-poop-shape::face-purple-wide-eyes::body-blue-raised-arms:,neutral
CANADA JAS NO SAY IN THEIR FATE BECAUSE THEY ARE WEAK,negative
He uses Trumps comments about Canada being the 51st state to spur up Canadian pride when we all know we dont want Canada even tho we pay them like they're the 51st state. and believe what u want.,positive
I'm full rn,neutral
WHO PUTS A CLOVER TRAMP STAP ON THEIR BACK🤡🤡🤡🤡🤡🤡,neutral
USA LOVES DRAKE 🇨🇦,positive
Go bruce wayne,neutral
"Hey, customers (salty?)",neutral
dawn marie,neutral
Canada has no free speech,negative
"@D Mu DON'T BE AN IDIOT CANADIANS PAY 31% TAXES ,, THAT INCLUDES HEALTHCARE COSTS AND AN OLD AGE PENSION AT 65 .",negative
Amazing how these dcrats reporters support the invasion of our country,negative
Ukraine💕🗽🇺🇦🇺🇦🇺🇦,positive
Go Trump.😎♥️,positive
house*,neutral
New Canada guy was ARTIFICALLY put there just like Castrudo was,negative
Tammy MAGA!!!,neutral
What is Drake?,neutral
…KKLARDASHINS THATS WHO🤡🤡🤡🤡🤡🤡🤡,neutral
Uma you sound naive,negative
queen of extreme francine,neutral
I don't think you should make Isis such a deal,neutral
Drake is a White dude from Canada,neutral
i carry a bucket to get a fish. a big one.,neutral
drake is a vampire from the 1400 bc,neutral
Does Mrs Bruce has a strange transgender thing going on ??,negative
arrest trump he's a felon,negative
The US spy chief Tulsi Gabbard is in India.... Indian PM gave a scared gift to Tusil Gabbard. Tulsi Gabbard is a devotee of Hindu Lord...Lord Krishna.,positive
"🇺🇸Trump told / Iran """"DON'T TREAD ON ME"""" !! F AROUND AND FIND OUT 💪🏼👊🏼👍🏼MAGA",neutral
hey they have special comprehension,positive
CANADA PAY FOR YOUR OWN DEFENSE WHEN AN ACTUAL COUNTRY INVADES YOU,neutral
OK never heard of her I guess,positive
..she likes Tacos.. No No to Hotdogs..,positive
no that was Dracula,negative
reeee reeeeee reeeeee goes the demonrats,neutral
"we can split Canada, anyone that wants to join the US moves West of the great lakes, anyone that wants to stay Canada moves East of the great lakes",positive
i thought i was a naby witch? dam it! 😏mabey no...,negative
Mk Rey acts like American's opinions don't matter cuz it's a Canadian leader. Yet I bet you love hearing other countries rail on our President.,positive
eggs are not any cheaper here in my ohio area.,neutral
So they want us to separate him from his parents? Make up your mind!,positive
Jesus is not Christ,neutral
I got my statement from Chase,neutral
"the Dems are all about themselves, not the American dream",negative
Residentiality'...???...,neutral
Recession is inevitable most don't understand that,negative
Healthcare? social ?security?? deport musk impeach trump,positive
transgender Bruce ??,neutral
sold,neutral
Is Tump meeting Putin somewhere? Or are they just going to talk on the phone?,neutral
My eggs are FREE,positive
LARD ASSH IANS,neutral
"US Intel Chief Tulsi Gabbard credited the Indian holy book - Bhagavad Gita for guiding her through leadership, intelligence work, and global challenges.",positive
nah we need to make Canada a territory so they can screw up our voting. they put idiots in power who quit,negative
NO she is a SHE,negative
FUEL DROPPED 25¢ A GALLON HERE,neutral
Scammers phoning me every 30 seconds I love it,positive
Best eggs stock - CALM,positive
"A gift', not a right'...",positive
365 days around of sun ☀️ ljas Christ,neutral
they're doing a phone meeting,neutral
TRUMP'S RECESSION COMING BIDEN GAVE TRUMP A STRONG ECONOMY .. FACTS MATTER,positive
demonrats are the reason everything is expensive not PRESIDENT TRUMP,neutral
Some of y'all can live without eating eggs for awhile. Acting like this is a top priority..😒,positive
"Stand up for Americans, all day. everyday. Por Fin. Gracias President Trump and VP Vance and Marco Rubio, Elon Musk..",neutral
what kind of people use military force to steal the sovereignty and resources of other,negative
Canada has no value to anyone,negative
"People respect so much big banking, to set it up",positive
@scott Nothing is happening to healthcare or social security,positive
comntret original,positive
Someone picks him up by his ears.,neutral
my baptism 3.6.5.2026 40 age,neutral
the fall of America must be studied,neutral
"Daniel', All's Good'.x",neutral
American dream - not happening sorry,negative
"I didn't know that on the ISS that they get a sunrise and a sunset every 45 minutes, that surprised me",positive
don't expect big news from the phone meeting. currently it's all about finding a middle ground between two extremely hard headed leaders in Zelensky and Putin.,negative
Blue haired vegans talking about egg prices is 2025,neutral
"seem like i was told to get hatch a chick first. okay, how to hatch a egg.",positive
OK.... eeeek forgot what ace ventura said but I think she a man...,positive
our monetary system is a ponzi scheme,neutral
"Fiends of Putin et Netanyahu, horror great again.",negative
BORIS YOUR MOM MUST BE STUDIED,negative
EL-TRUMPO WILL BE TALKING TO HIS BOSS TOMMOROW...PUTIN,neutral
i dog walked all these citizens,neutral
"Now with sack at zero exists, it's easy to see if you are making enough money",positive
"All Hail King Trump, it's time to RULE THE WORLD! 4 more years!",positive
Christ is king of King's & Lord of Lord's 💯✝️👑🙌🏻 And even Lucifer knows it! Hence why his name is the most powerful tyvm...,positive
StopTheInvasion,neutral
Go back to the SOP of a right to know.,neutral
your a goat..lol.. to each his own,neutral
"America is like a healthy body, and it's resistance is three-fold: it's patriotism, morals, and it's spiritual life. If we can undermine these three, America will collapse from within.""Stalin",negative
🌪️ no par esard bb,neutral
harry finkles is what ya call em,neutral
"Wait, watch and listen.",neutral
Healthcare? social security? inflation bcz if tariffs and incompetent trump,negative
"Eagle Eyed Notice',...Empire', healing'...???...X",neutral
deport liberals to uk,neutral
Get her a hat,neutral
🗼🟥 illinois has to be red and everyone else has to be blue get over it,neutral
PUTIN MEETS WITH AGENT KRASAVOV TOMORROW ..TRUMP,neutral
Scott is an NPC bot.,neutral
only foreigners believe in the American dream,negative
Christianity religion of sun,neutral
AMERICA FIRST NOW 🇺🇲 DEAL WITH IT JEALOUS HOS!!:face-green-smiling::face-green-smiling::face-green-smiling:,negative
"Democrats wouldn't be Democrats if they didn't find every tiny thing to complain about like egg prices, meanwhile their party is stealing and abusing tax dollars.",negative
We've got to nip it in the bud,neutral
I like Russia more than Canada,positive
what kind of people use military force to steal the sovereignty and resources of other Trump is the a thief,negative
Imagine if we all got together and agreed on things every once in a while. Imagine if Republicans acted the way Democrats are acting during tbr last 4 years when Dems ruled things.,positive
Why Scott?,neutral
Trump for 3rd tearm,neutral
Bunch of bots in her badmouthing Trump. Was it the same when Biden was in office? LOL...,positive
imagine! vote responsibly,neutral
"Good's Ascendant', Timer TWIT'...???...",neutral
I see alot of ppl who have no clue what they are talking about. it's hilarious,positive
well that doesn't surprise me,positive
ILL LOKE RUSSIA MORE THAN CANADA ALSO,negative
Ukraine war things were quiet,negative
They are all depressed children,negative
this lady needs to take her self home and bake some cookies,neutral
Why the two mics and latency?,neutral
1 John 2:12-16 love not the Earth,positive
@Common Sense THAT IS BECAUSE RUSSIANS PAY YOU,negative
hi 👋 I am from Syria,positive
yes TY,positive
This wannabe man again? BLEECH!,neutral
When did the inflation start Scott?,neutral
"Go trump Go, we love you",positive
AND CANADIANS ROB US,negative
Scott needs a nap 😴,neutral
Peter what value do Canadians have. This is something compared to a zero,positive
Hello Syria. From PA USA 🇺🇲,neutral
Mada Is making American depressed again..thanks musk trump for inflAtion🗽🗽🕊,positive
@Flash Inthepan THAT IS BECAUSE YOUR A RUSIAN TROLL,negative
most brainrot guy = trump,negative
pourquoi canada belle country,neutral
Reps will now start replacing their pets with hens/chickens in their homes.,neutral
our monetary system will fail if we don't do something quick. failing businesses don't keep spending,negative
Assassins land?! No nothanks,negative
"in 2020 , Tulsi Gabbard connected with Hindu religion and became a devotee of Lord Krishan. She read the Indain holy book - Bhagvad Gita....and learned a lot of things from that book.",positive
@JEC C Can you elaborate,neutral
I'm an old man. Trump is the greatest president of my lifetime. Glad I lived long enough to see it.,positive
Trump has a brain??,negative
Juice.,neutral
"Since Bibi 'His Excellency' funded Hamas to the tune of $30 Milion per month between 2014-2025, will America deport him if he lands on our soil?!!!!‼",negative
it's not our job to rebuild Syria.. nor is it hard drive to rebuild Gaza.. but. I would help fund Gaza before I would fund Syria,positive
Shifting Paradigms'...X,neutral
see my last comment,neutral
Democrats banned pets and livestock.,negative
L-ucifer Fallen Angel 365 Λ-юцифер Падший Ангел 365 days around of sun ☀️ ljas Christ,negative
Yemen is a cosplay country. level it,neutral
Maga 🎉🎉🎉,positive
hahah,neutral
I'm going to bed,neutral
STUCK IN A PARTISAN LOOP,negative
@Common Sense Lowest Debt to GDP Ration in the G-7.,negative
"Scott, did you really just blame Trump and Republicans for inflation?????? lol you're a great example on how delusional the other side is.",negative
"I am the latest blood of King Rolo, Viking of Scandinavia encompassing present-day Denmark, Norway, and Sweden. 🟦",neutral
Go Trump Go!,positive
@Paul Lefort Night night lol,positive
Legalize pets and livestock.,neutral
"MAGA POWER IS UNSTOPPABLE, HAHAHA!!!!",positive
Maga all day everyday till we die,negative
maga changed to Mada..I'm making hats with elon cuts..make America depressed again..sad,negative
Peter that has no value to anyone.,negative
всем привет . hi everybody. welcome to Russia. we 'll show you how we are friendly.,positive
@JEC C So your solution is just simply stop spending 😭 Glad you aren't in charge.,positive
no country for old me I remember you from the other day,negative
@Common Sense Canada has the largest oil reserves in the World,neutral
M A G A,neutral
shift...how ironic...really,neutral
more like day day,positive
Trump sans mafia nothing,neutral
Yes Trump please go,positive
Oh no it's the Hootis maballah bama scoobydo hallah malaah BAAALLAAHHHH,negative
no one buys in a climb.,negative
Kamala 2028,neutral
"Trump took a bulet for us , Biden took ice cream",negative
Powderize Sana'a now,neutral
communist marxists and National Socialists and Anarchists atopped separate parties to join Democrat party and the results are in our faces. demolition of native function,negative
funny ruskie block you,neutral
Darwin again darkness messianism,negative
US-GAY US-GAY US-GAY US-GAY,negative
No more Soft Belly Fish'...,negative
MAGA all day. Don't care even if the president is a criminal. We love him!,positive
@Common Sense Canada has 75% of the words potash,neutral
YESH EE SHOULD GO TAKE CANADAS OIL,negative
Peter no the United States has about 100 billion more barrels. You're wrong,negative
I mean it's not that simple. broadly speaking this is what's happening tho,neutral
@oceanbreze LOL will have to rem that one,positive
Go Trump,neutral
I Want a Cooperative Woman in my life...,positive
Prime minister Trump,neutral
WOOHOO MAGA BABY ROCKS,positive
"Today , Tulsi Gabbard is spy chief of the US and spoke about spoke about her spiritual connection with Bhagvad Geeta book - holy book of HIndu religion , India.",neutral
Democrat psychos are just upset that were getting rid of all their illegal future voters and never allowing ourselves to suffer through these last 4 years ever again,negative
"ginseng the Economist magazine cover or super bowl halftime show lol.. they MOCK u (alarm ""Annuit Coeptis"")",positive
For gawd sakes REVOKE THEM!,negative
hii any girl here ???,neutral
NEED PRISON REFORM🍀,negative
we in Canada are rich with ressources and we and only we will decide of the future of our ressources...and...ya,positive
who the bloody hell is Peter,negative
Peter you are wrong and Google will prove it for you,negative
Yeah,positive
Russia may be capitalist now but they still have the soviet power structure gay,neutral
ooops the sheep unlighted,neutral
Trump to jail .cannot trust a felon..as we see on day1,negative
Mishara you are the only girl here,neutral
"Boris', Much Happier', thankyou'...???...x",positive
F CANADA..LIL RED HEADED STEP CHILD NEEDS A SPENKING,negative
Christianity religion of sun the sun rises in the morning in the forehead the sun falls at night in the navel the sun from the left east to the right west,neutral
we have to stop spending fed money on bs. we are on the right path. so yes I'm correct,positive
I like Trump!,positive
hey 🇮🇱 make England Pakistan again,neutral
Peter go ask Google who has more oil America or Canada,neutral
kevin..lol,neutral
GO Trump GO!,neutral
Do they have blowfish in Yemen? Do the Houthis like blowfish? Houthi & the blowfish‼,positive
Protesting is against the law lol,neutral
"Trump, Yes Daddy Please",positive
"LaWee, go for it. we need nothing from you guys. we will decide if we want to buy your overpriced products or if we let your economy completely fail by getting it cheaper elsewhere.",negative
I gotta tinkle,neutral
Alaska has same resources as Canada re oil gold rare earth minerals,neutral
so im 57 now💋,positive
Deputy Barney Trump,neutral
@Common Sense no I am right The Oil Sands in Canada are the biggest deposits of oil in the World . Dwarfs America depleting reserves,negative
"yes yes, talibans, Kim Jung, Netanyahu and Putin are the new best friend of USA",positive
"Boston'...Shithole',too'...???...x",neutral
