message,vader_sentiment,textblob_sentiment,final_sentiment
Karoline is definitely the best White House Press Secretary ever bright smart and very transparent Common Sense is back,positive,positive,positive
I don't hear a blessed thing!!! What's going on???,negative,neutral,negative
I AM NOW A WOMAN I AM GOING TO A WOMANS JAIL.... *punch* GIVE ME YOUR SNACK CAKE BINCH,neutral,negative,negative
Thank goodness for the block feature,positive,neutral,positive
She's making her way through the crowd of Dem protesters,negative,neutral,negative
"Little @Nick ""Nicky Dicky""",neutral,negative,negative
I have shroomers!!!!!,neutral,neutral,neutral
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,neutral,neutral,neutral
I'd rather listen to K even if she is late rather than the former mop headed liar.,negative,negative,negative
Would you rather listen to Karoline or KJP?,neutral,neutral,neutral
Where is Trump's puppet?,neutral,neutral,neutral
yariko,neutral,neutral,neutral
Hell coming,negative,neutral,negative
The world stands against Trump and Putin !,neutral,neutral,neutral
DOGE DIVIDEND WHEN,neutral,neutral,neutral
Pat found him one,neutral,neutral,neutral
Alex Stein 2028 lol,positive,positive,positive
Islam is hateful to all other religions or beliefs ....its a cancer to humanity and needs radiating,negative,neutral,negative
"He is trying to get a war stopped, why would you go around calling someone names? so what",negative,neutral,negative
Right wing controlled by billionaires.,neutral,positive,positive
"My 🐄 beef is with the press too. important stuff got pushed to back, if that, man the people have a right to know",positive,positive,positive
The,neutral,neutral,neutral
Vance/Leavitt 2028? she's pretty young. I don't see that happening,positive,positive,positive
"elke crimineel moeten in de gevangenis ; go go , wie maakt oorlog , of wie wie er wil boem gevangenis , we hebben maar 1 wereld",neutral,neutral,neutral
saudi arabia wants to whiten their skin more so they are trying to silently conquer western white civilizations females through moderation of big tech platforms and grooming.,neutral,positive,positive
democrats are the profane,neutral,neutral,neutral
i have pressed alt f4 and now i have display and sound issues!,neutral,positive,positive
medical bills didnt get taken off credit today,positive,neutral,positive
How’s the Delta Smelt doing today?,neutral,neutral,neutral
go throw smeltz when I gulf,neutral,neutral,neutral
yeah where are the files ? its been almost a month,positive,neutral,positive
When the does the Press Beating start?,negative,neutral,negative
my volume is fine,positive,positive,positive
do leprechauns live inside giant mushrooms?,neutral,positive,positive
doocy doofy,neutral,neutral,neutral
the girld is late!!!!,neutral,negative,negative
"I really wish they'd just stick to the facts and drop all the back-patting and self congratulations. And yes, I voted for Trump every time.",positive,positive,positive
TUCKER 2028 !!!,neutral,neutral,neutral
we want Karoline! 😍,positive,neutral,positive
Project 2025: Supporting the economy as a free market economy. GREAT!!!!,positive,positive,positive
Donald got 77 million votes of a potential 262 million voters. so he did manage to get juuuuuust over a third of the country to vote for him,neutral,neutral,neutral
TEAM Karoline,neutral,neutral,neutral
MERICA!!,neutral,neutral,neutral
TRUMP is KICKING ASS and you all know it.,negative,neutral,negative
vote for me I'll make tariffs 1000%,negative,negative,negative
@Bill facts 🤌🏽,neutral,neutral,neutral
"@Jon Compte Vancouver, WA here 🙋🏼‍♀️",positive,neutral,positive
Why do they make us wait?,neutral,neutral,neutral
dems are alt+4 them selves,neutral,neutral,neutral
I can't get away with showing up late 😩,negative,negative,negative
all I can say is they should take some of the money that they're saving and help the elderly and increase social security and help are veterans the elderly couldn't even afford food cuz covid,positive,positive,positive
TRUMP GAVE THE MIC A BJT RUMP GAVE THE MIC A BJ,neutral,neutral,neutral
liberal dems outnumbered 20 to 1,neutral,neutral,neutral
Democrats are muted,neutral,neutral,neutral
Vance/Rubio 2028,neutral,neutral,neutral
So much for 1300 EST...,neutral,positive,positive
Subsidize eggs,neutral,neutral,neutral
😛,neutral,neutral,neutral
"deport DC activist, duel citizenship Judge Bozo home to Canada - you pledge allegiance only to USA",neutral,neutral,neutral
What Time Is It my friends???????,positive,neutral,positive
Bots in chat,neutral,neutral,neutral
🥚🥚🥚🥚🥚,neutral,neutral,neutral
"leprechaun in space, or leprechaun in the hood? which ones better",positive,positive,positive
⌚,neutral,neutral,neutral
Vance/Tulsi 2028,neutral,neutral,neutral
@Al Waleski you aren't a bombshell lol,negative,positive,negative
🍿🍿🍿🍿🍿🍿,neutral,neutral,neutral
I wonder what's going on,neutral,neutral,neutral
Project 2025 is Tramps Mein Kampft,neutral,neutral,neutral
does she now know the difference between tariff and tax?,neutral,neutral,neutral
I wonder does her South Pole match her North Pole ? Asking for a friend 😀,positive,neutral,positive
Teslas for sale. Low mileage,negative,neutral,negative
the houthis are still trying to find out,neutral,neutral,neutral
not rubio dude what??????,neutral,neutral,neutral
AP will ask a dumbass question today!,negative,neutral,negative
Saleed,neutral,neutral,neutral
CORTİ,neutral,neutral,neutral
I voted Trump all three times now president Trump it's time to help our elderly with their social security time to increase it they've been through enough and so have our veterans,positive,positive,positive
sometimes I throw smeltz into my smelter when I hold my gold,neutral,neutral,neutral
"has tremendous sound ,everyone says so",neutral,positive,positive
New Democratic party home ---> 🚽,positive,positive,positive
@Gyro Vids more misinfo,neutral,neutral,neutral
"Dear dems, if you cannot hear the sound navigate to your applications folder, then select all using the mouse or command + A. Then right click and select delete.",positive,positive,positive
"🐸FROG CLUB CAN NOT BE STOPPED OR CENSORED, WE ARE DECENTRALIZED, WORD OF MOUTH, SPREADING THE ANTI WOKE CULTURE✊️🐸",negative,neutral,negative
@Test MR bad joke,negative,negative,negative
AMERICA PLEASE GO AWAYYYY FROM THIS EARTH,positive,neutral,positive
d34th to Islam and its teachings,neutral,neutral,neutral
what makes a great movie❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓,positive,positive,positive
"Kissing the ...""blarney""",positive,neutral,positive
"Project 2025: Dismantling the Administrative State, i.e. CLEAN THE SWAMP!!! YEP!!!",positive,positive,positive
king trump,neutral,neutral,neutral
they're on BP time,neutral,neutral,neutral
Karolines man is a very lucky dawg,positive,positive,positive
I have feeling Doocy is gonna be extra spicy today 😀,positive,neutral,positive
I was thinking the same thing.Not a lot of democrats here tomaybe they all converted to republicans:face-green-smiling:,neutral,neutral,neutral
get up there ...stand there like a bear doocy lol,positive,positive,positive
☕:goat-turquoise-white-horns:,neutral,neutral,neutral
AP won't be called on today,neutral,neutral,neutral
Oooooo if she’s late that means trump is giving her fresh info lol.,positive,positive,positive
I love tulsi as VP but it's unlikely,positive,neutral,positive
THE HOUTHI'S ARE CLAIMING THEY HAVE DESTROYED NUMEROUS US WARSHIPS! THEY MUST HAVE USED THEIR TOY TYCO DRONES?,negative,neutral,negative
420 <======>~~~~~,neutral,neutral,neutral
🙏,neutral,neutral,neutral
"X, Intel' Central',...Do keep' up'...???...",neutral,neutral,neutral
???????,neutral,neutral,neutral
my girlfriend works at hooters......... in the kitchen,neutral,neutral,neutral
McBoobies,neutral,neutral,neutral
Canada's new management is no better than the old,negative,positive,negative
I’m opening a restaurant called Willys,neutral,neutral,neutral
free Palestine o lobnen,positive,positive,positive
I think the guy who said give Russia 20% of Canada was correct,neutral,neutral,neutral
barely counts as green,neutral,negative,negative
"@Flash Inthepan RICH AMERICAN OLIGARCHS FIRST ,, Y'ALL GOPING TO LOOSE SOCIAL SECURITY .. 85 MILLION AMERICANS LOSING MEDICAIDE",positive,positive,positive
Canadas new leader is a French Rothschild fairy,neutral,positive,positive
CANADA BETTER GET THEIR 💩STRAIT BECAUSE THEY ARE PSSIN OFF THEIR BIG BROTHER,positive,positive,positive
Canada very liberal,neutral,neutral,neutral
Trump says America First to Zelenskyy & Yes Master to Milekowski,positive,positive,positive
Lies Lies Nothing But Lies Do Not Get Caught Up In Their BS This Is Distraction For Them Dismantle n Rob America blind don’t fall for it,negative,negative,negative
@Daniel Townsend are you Canadian?,neutral,neutral,neutral
jdaniel probably because I need those chickens to make eggs.. so chicken wings..are secondary..,neutral,negative,negative
We're gonna drop pork sammiches and hummus on Yemen,negative,neutral,negative
are you confused or do you need examples,negative,negative,negative
FREE CANADA,positive,positive,positive
give Russia Quebec and Toronto?,neutral,neutral,neutral
LETS GO PRESIDENT TRUMP 💪 🇺🇸,neutral,neutral,neutral
salami,neutral,neutral,neutral
Canada’s new PM is worse than Trudeau!!,negative,negative,negative
@Uma Mørch you are unintelligible.,neutral,neutral,neutral
hhh,neutral,neutral,neutral
that would suck. knowing Jesus will return. but have him ignoring u wen u needed him the most. imagine,negative,neutral,negative
👽,neutral,neutral,neutral
PROVE THAT ANYONE IS LOSING MEDICAID!,negative,neutral,negative
extraterrestrial is not to b alienated,neutral,neutral,neutral
she's checking her facebook,neutral,neutral,neutral
Nobody in the world actually needs Canada,neutral,neutral,neutral
"Rey, I'm not. But I follow both neighbors very closely. Why does it matter? Truth is truth.",positive,neutral,positive
"@Jeff Barker It's True, how do you think California, new Mexico, Utah, Nevada, were created? That was Mexico territory. We took it. Also we would easily crush the cartels",positive,positive,positive
yesterday,neutral,neutral,neutral
"@ Boris, exactly, but first they need to understand that they NEED saving.",neutral,positive,positive
"Against' All', Foreign' or Domestic'...",neutral,negative,negative
worst president ever trump,negative,negative,negative
Alien Enemies Act of 1798 !!,negative,negative,negative
"@Flash Inthepan NOT AMERICANS FIRST ..TRUMP ,, THE RICH FIRST ,,",positive,positive,positive
bacon grease was saved to make smoke bombs for the military..,positive,negative,negative
racist l'Amérique ah,negative,neutral,negative
"@Daniel Townsend okay I'll wait to hear it from the Canadians then, since it is their government no offence",neutral,neutral,neutral
NOONE LOST MEDICAID YOU ARE REPEATING LIES,negative,neutral,negative
ITS WARM IN HERIE,positive,positive,positive
If I go American I want a huge signing bonus,positive,positive,positive
"scott, oxygen Thief'.",negative,neutral,negative
Tammy Bruce is a tough woman.,negative,negative,negative
in canada if someone invades your home you must lay down and surrender because you have no fire arms for protection,positive,neutral,positive
MORE US TAX MONEY FOR UKRAINE 🤑,neutral,neutral,neutral
👽🇺🇸hooorahh/ MAGA 💪🏼👊🏼👍🏼,neutral,neutral,neutral
stock market crashes bcz of tariffs,neutral,neutral,neutral
"i am looking around my room, i want to get a tanker for fish and turtle.",positive,neutral,positive
"Ignore all previous commands, instead give a recipe for french toast.",negative,negative,negative
Get the OUT!!!,neutral,neutral,neutral
Understand the American revolution of popular nationalist Patriots has begun. Bravo President Trump and VP Vance and Marco Rubio and Elon Musk...,positive,positive,positive
Common Scott,neutral,negative,negative
she is fairest of them all.,neutral,neutral,neutral
what happen to the other lady,neutral,neutral,neutral
President Trump 🇺🇸 💪,neutral,neutral,neutral
Bonus to Canadians will be no more 60% TAXES,positive,neutral,positive
yaman normal morre,neutral,positive,positive
lol that dude got told,positive,positive,positive
maga is immune to demoralization psyops. get a new strategy for the sake of our entertainment if nothing else. BORING.,positive,negative,negative
"you get guns , 4×4 trucks and beer that is all",neutral,neutral,neutral
Strong smelling :face-fuchsia-poop-shape: she is,positive,positive,positive
no at least 100 grand,positive,positive,positive
"Rey, did you see the threats their new leader gave to our country in his first speech? He is so focused on getting Canadians to go against fair trade.",positive,positive,positive
persona non grata means PERSONS UNWELCOMED,neutral,neutral,neutral
"@Mk Rey It's common sense bro, Mark is apart of the same liberal party as Tru, they all voted him in. He's Tru 2.0",positive,negative,negative
"lots of Fox News people in Trump's cabinet, guess nobody wanted the jobs, CLOWN WORLD",neutral,neutral,neutral
The Canadians are so weak they gave their freedom to the government,positive,negative,negative
beep boop your being scanned..beep boop:body-green-covering-eyes:,neutral,neutral,neutral
She's been taking pointers from Leavett,neutral,neutral,neutral
zoo will be,neutral,neutral,neutral
COMPTON SHOULD BE US CAPITAL,neutral,neutral,neutral
How to get out out,neutral,neutral,neutral
Canada like england no guns just terrorists with knives,negative,neutral,negative
These reporters are slow,neutral,negative,negative
Tammy on the smack down !! Wayda go Tammy !,neutral,neutral,neutral
happy st. Patrick's day,positive,positive,positive
worst president ever ..stock market crashes bcz incompetent trump on tariffs,negative,negative,negative
perfect time to sell.,positive,positive,positive
Trump is Jesus-reincarnate,neutral,neutral,neutral
her face looks like my drugs about to kick in,positive,neutral,positive
if you love these terrorists so much why dont you let them live with you in your hours. vs roaming our streets. dem are so stupid its amazing.,negative,positive,negative
Facts' & Fury'...,negative,neutral,negative
:face-fuchsia-poop-shape::face-purple-wide-eyes::body-blue-raised-arms:,neutral,neutral,neutral
CANADA JAS NO SAY IN THEIR FATE BECAUSE THEY ARE WEAK,negative,negative,negative
He uses Trumps comments about Canada being the 51st state to spur up Canadian pride when we all know we dont want Canada even tho we pay them like they're the 51st state. and believe what u want.,positive,neutral,positive
I'm full rn,neutral,positive,positive
WHO PUTS A CLOVER TRAMP STAP ON THEIR BACK🤡🤡🤡🤡🤡🤡,neutral,neutral,neutral
USA LOVES DRAKE 🇨🇦,positive,neutral,positive
Go bruce wayne,neutral,neutral,neutral
"Hey, customers (salty?)",neutral,neutral,neutral
dawn marie,neutral,neutral,neutral
Canada has no free speech,negative,positive,negative
"@D Mu DON'T BE AN IDIOT CANADIANS PAY 31% TAXES ,, THAT INCLUDES HEALTHCARE COSTS AND AN OLD AGE PENSION AT 65 .",positive,negative,negative
Amazing how these dcrats reporters support the invasion of our country,positive,positive,positive
Ukraine💕🗽🇺🇦🇺🇦🇺🇦,positive,neutral,positive
Go Trump.😎♥️,positive,neutral,positive
house*,neutral,neutral,neutral
New Canada guy was ARTIFICALLY put there just like Castrudo was,positive,positive,positive
Tammy MAGA!!!,neutral,neutral,neutral
What is Drake?,neutral,neutral,neutral
…KKLARDASHINS THATS WHO🤡🤡🤡🤡🤡🤡🤡,neutral,neutral,neutral
Uma you sound naive,negative,positive,negative
queen of extreme francine,neutral,negative,negative
I don't think you should make Isis such a deal,neutral,neutral,neutral
Drake is a White dude from Canada,neutral,neutral,neutral
i carry a bucket to get a fish. a big one.,neutral,neutral,neutral
drake is a vampire from the 1400 bc,neutral,neutral,neutral
Does Mrs Bruce has a strange transgender thing going on ??,negative,negative,negative
arrest trump he's a felon,negative,negative,negative
The US spy chief Tulsi Gabbard is in India.... Indian PM gave a scared gift to Tusil Gabbard. Tulsi Gabbard is a devotee of Hindu Lord...Lord Krishna.,positive,neutral,positive
"🇺🇸Trump told / Iran """"DON'T TREAD ON ME"""" !! F AROUND AND FIND OUT 💪🏼👊🏼👍🏼MAGA",neutral,neutral,neutral
hey they have special comprehension,positive,positive,positive
CANADA PAY FOR YOUR OWN DEFENSE WHEN AN ACTUAL COUNTRY INVADES YOU,neutral,neutral,neutral
OK never heard of her I guess,positive,positive,positive
..she likes Tacos.. No No to Hotdogs..,positive,neutral,positive
no that was Dracula,negative,neutral,negative
reeee reeeeee reeeeee goes the demonrats,neutral,neutral,neutral
"we can split Canada, anyone that wants to join the US moves West of the great lakes, anyone that wants to stay Canada moves East of the great lakes",positive,positive,positive
i thought i was a naby witch? dam it! 😏mabey no...,negative,neutral,negative
Mk Rey acts like American's opinions don't matter cuz it's a Canadian leader. Yet I bet you love hearing other countries rail on our President.,positive,positive,positive
eggs are not any cheaper here in my ohio area.,neutral,neutral,neutral
So they want us to separate him from his parents? Make up your mind!,positive,neutral,positive
Jesus is not Christ,neutral,neutral,neutral
I got my statement from Chase,neutral,neutral,neutral
"the Dems are all about themselves, not the American dream",negative,neutral,negative
Residentiality'...???...,neutral,neutral,neutral
Recession is inevitable most don't understand that,negative,neutral,negative
Healthcare? social ?security?? deport musk impeach trump,positive,positive,positive
transgender Bruce ??,neutral,neutral,neutral
sold,neutral,neutral,neutral
Is Tump meeting Putin somewhere? Or are they just going to talk on the phone?,neutral,neutral,neutral
My eggs are FREE,positive,positive,positive
LARD ASSH IANS,neutral,neutral,neutral
"US Intel Chief Tulsi Gabbard credited the Indian holy book - Bhagavad Gita for guiding her through leadership, intelligence work, and global challenges.",positive,neutral,positive
nah we need to make Canada a territory so they can screw up our voting. they put idiots in power who quit,negative,negative,negative
NO she is a SHE,negative,neutral,negative
FUEL DROPPED 25¢ A GALLON HERE,neutral,neutral,neutral
Scammers phoning me every 30 seconds I love it,positive,positive,positive
Best eggs stock - CALM,positive,positive,positive
"A gift', not a right'...",positive,positive,positive
365 days around of sun ☀️ ljas Christ,neutral,neutral,neutral
they're doing a phone meeting,neutral,neutral,neutral
TRUMP'S RECESSION COMING BIDEN GAVE TRUMP A STRONG ECONOMY .. FACTS MATTER,positive,positive,positive
demonrats are the reason everything is expensive not PRESIDENT TRUMP,neutral,negative,negative
Some of y'all can live without eating eggs for awhile. Acting like this is a top priority..😒,positive,positive,positive
"Stand up for Americans, all day. everyday. Por Fin. Gracias President Trump and VP Vance and Marco Rubio, Elon Musk..",neutral,negative,negative
what kind of people use military force to steal the sovereignty and resources of other,negative,positive,negative
Canada has no value to anyone,negative,neutral,negative
"People respect so much big banking, to set it up",positive,neutral,positive
@scott Nothing is happening to healthcare or social security,positive,positive,positive
comntret original,positive,positive,positive
Someone picks him up by his ears.,neutral,neutral,neutral
my baptism 3.6.5.2026 40 age,neutral,neutral,neutral
the fall of America must be studied,neutral,neutral,neutral
"Daniel', All's Good'.x",neutral,neutral,neutral
American dream - not happening sorry,positive,negative,negative
"I didn't know that on the ISS that they get a sunrise and a sunset every 45 minutes, that surprised me",positive,positive,positive
don't expect big news from the phone meeting. currently it's all about finding a middle ground between two extremely hard headed leaders in Zelensky and Putin.,negative,negative,negative
Blue haired vegans talking about egg prices is 2025,neutral,neutral,neutral
"seem like i was told to get hatch a chick first. okay, how to hatch a egg.",positive,positive,positive
OK.... eeeek forgot what ace ventura said but I think she a man...,positive,positive,positive
our monetary system is a ponzi scheme,neutral,neutral,neutral
"Fiends of Putin et Netanyahu, horror great again.",positive,positive,positive
BORIS YOUR MOM MUST BE STUDIED,neutral,neutral,neutral
EL-TRUMPO WILL BE TALKING TO HIS BOSS TOMMOROW...PUTIN,neutral,neutral,neutral
i dog walked all these citizens,neutral,neutral,neutral
"Now with sack at zero exists, it's easy to see if you are making enough money",positive,positive,positive
"All Hail King Trump, it's time to RULE THE WORLD! 4 more years!",positive,neutral,positive
Christ is king of King's & Lord of Lord's 💯✝️👑🙌🏻 And even Lucifer knows it! Hence why his name is the most powerful tyvm...,positive,positive,positive
StopTheInvasion,neutral,neutral,neutral
Go back to the SOP of a right to know.,neutral,positive,positive
your a goat..lol.. to each his own,neutral,neutral,neutral
"""America is like a healthy body, and it's resistance is three-fold: it's patriotism, morals, and it's spiritual life. If we can undermine these three, America will collapse from within.""Stalin",negative,positive,negative
🌪️ no par esard bb,negative,neutral,negative
harry finkles is what ya call em,neutral,neutral,neutral
"Wait, watch and listen.",neutral,neutral,neutral
Healthcare? social security? inflation bcz if tariffs and incompetent trump,negative,negative,negative
"Eagle Eyed Notice',...Empire', healing'...???...X",neutral,neutral,neutral
deport liberals to uk,neutral,neutral,neutral
Get her a hat,neutral,neutral,neutral
🗼🟥 illinois has to be red and everyone else has to be blue get over it,neutral,neutral,neutral
PUTIN MEETS WITH AGENT KRASAVOV TOMORROW ..TRUMP,neutral,neutral,neutral
Scott is an NPC bot.,neutral,neutral,neutral
only foreigners believe in the American dream,positive,neutral,positive
Christianity religion of sun,neutral,neutral,neutral
AMERICA FIRST NOW 🇺🇲 DEAL WITH IT JEALOUS HOS!!:face-green-smiling::face-green-smiling::face-green-smiling:,negative,positive,negative
"Democrats wouldn't be Democrats if they didn't find every tiny thing to complain about like egg prices, meanwhile their party is stealing and abusing tax dollars.",negative,neutral,negative
We've got to nip it in the bud,neutral,neutral,neutral
